time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-08-05T06:27:16.130Z,-37.432,-73.323,23.7,5.4,mwc,168,42.2,,0.94,us,usp000hhk0,2022-07-18T17:50:22.495Z,"5 km NNE of Curanilahue, Chile",earthquake,,,,,reviewed,us,gcmt
2010-08-05T06:01:47.440Z,-37.443,-73.281,18,5.9,mwc,231,35,,0.9,us,usp000hhjy,2022-08-09T03:35:58.879Z,"6 km NE of Curanilahue, Chile",earthquake,,,,,reviewed,us,gcmt
2010-08-04T04:24:36.260Z,-23.91,-66.649,178.4,5.1,mwc,288,41.8,,0.9,us,usp000hhfc,2016-11-09T08:30:26.601Z,"47 km NW of San Antonio de los Cobres, Argentina",earthquake,,4.3,,,reviewed,us,gcmt
2010-08-03T05:29:18.000Z,-19.932,-70.334,33.3,5.1,mwc,216,96.7,,0.73,us,usp000hhdt,2022-07-18T17:31:32.637Z,"36 km NNW of Iquique, Chile",earthquake,,9.7,,,reviewed,us,gcmt
2010-07-30T12:10:54.000Z,-37.425,-73.642,15.9,5.1,ml,15,146.3,,,us,usp000hh5j,2014-11-07T01:42:04.734Z,"20 km N of Lebu, Chile",earthquake,,,,,reviewed,guc,guc
2010-07-26T17:31:31.260Z,-24.053,-66.825,193.2,5.6,mwb,336,33.8,,0.92,us,usp000hgvd,2022-05-02T22:05:35.557Z,"54 km WNW of San Antonio de los Cobres, Argentina",earthquake,,,,,reviewed,us,us
2010-07-24T21:46:36.000Z,-34.007,-72.308,23.5,5.2,mb,202,63.8,,,us,usp000hgqq,2022-07-18T17:06:59.435Z,"79 km SW of San Antonio, Chile",earthquake,,,,105,reviewed,guc,us
2010-07-18T22:59:04.000Z,-37.28,-73.844,18.3,5,mb,47,116,,,us,usp000hfqw,2014-11-07T01:41:55.349Z,"40 km NNW of Lebu, Chile",earthquake,,,,9,reviewed,guc,us
2010-07-18T03:29:37.000Z,-41.947,-73.838,45,5,mb,119,75.3,,,us,usp000hfdk,2022-07-18T16:34:45.747Z,"8 km SSW of Ancud, Chile",earthquake,,,,65,reviewed,guc,us
2010-07-17T06:07:43.550Z,-24.715,-69.817,55,5.5,mwb,363,41.5,,0.88,us,usp000hfcn,2022-07-18T16:29:56.547Z,"102 km NE of Taltal, Chile",earthquake,,,,,reviewed,us,us
2010-07-16T02:25:23.960Z,-21.281,-68.244,120.1,5.1,mwc,220,47.4,,0.85,us,usp000hfbc,2016-11-10T02:30:41.144Z,"147 km NNE of Calama, Chile",earthquake,,3.9,,,reviewed,us,gcmt
2010-07-15T01:02:02.000Z,-38.133,-74.169,27.2,5,mb,85,115.3,,,us,usp000hfa8,2014-11-07T01:41:53.336Z,"73 km SW of Lebu, Chile",earthquake,,,,52,reviewed,guc,us
2010-07-15T00:36:02.000Z,-34.153,-72.303,8.8,5.4,mwc,128,52.6,,,us,usp000hfa7,2022-07-18T16:16:15.773Z,"89 km SW of San Antonio, Chile",earthquake,,,,,reviewed,guc,gcmt
2010-07-14T15:05:50.400Z,-38.224,-73.23,35,5.8,mwc,192,42.4,,1.11,us,usp000hf9k,2022-07-18T16:14:38.543Z,"49 km W of Traiguén, Chile",earthquake,,,,,reviewed,us,gcmt
2010-07-14T08:32:21.490Z,-38.067,-73.31,22,6.6,mwc,295,52.8,,0.86,us,usp000hf8z,2022-08-09T03:08:25.772Z,"30 km SSE of Cañete, Chile",earthquake,,,,,reviewed,us,gcmt
2010-07-14T08:21:14.370Z,-38.098,-73.412,35,5.1,mb,164,65,,0.68,us,usp000hf8x,2022-07-18T16:11:28.046Z,"32 km S of Cañete, Chile",earthquake,,,,117,reviewed,us,us
2010-07-12T00:11:21.250Z,-22.146,-68.216,115,6.3,mwb,510,17,,0.92,us,usp000hf5z,2022-07-18T16:06:48.092Z,"80 km ENE of Calama, Chile",earthquake,,,,,reviewed,us,us
2010-07-09T22:57:17.810Z,-46.06,-75.589,14.9,5.3,mwc,68,108,,0.95,us,usp000hf2z,2022-05-02T22:02:49.614Z,"225 km WSW of Puerto Chacabuco, Chile",earthquake,,3.9,,,reviewed,us,gcmt
2010-07-06T13:54:02.140Z,-35.619,-71.953,47.2,5,mb,113,115.8,,0.73,us,usp000heyy,2022-07-18T15:47:24.773Z,"20 km W of San Javier, Chile",earthquake,,,,53,reviewed,us,us
2010-07-03T00:05:06.000Z,-34.775,-71.638,54.8,5.1,mwc,206,76.7,,,us,usp000heub,2022-07-18T15:33:21.828Z,"29 km WSW of Santa Cruz, Chile",earthquake,,,,,reviewed,guc,gcmt
2010-07-01T20:58:22.790Z,-35.655,-72.36,24.4,5.1,mb,113,90.3,,0.8,us,usp000hesr,2022-07-18T15:30:05.798Z,"34 km N of Cauquenes, Chile",earthquake,,15.4,,72,reviewed,us,us
2010-06-30T22:24:24.000Z,-21.478,-68.572,131.2,5,mb,179,113.2,,,us,usp000herd,2014-11-07T01:41:45.991Z,"114 km NNE of Calama, Chile",earthquake,,,,103,reviewed,guc,us
2010-06-29T01:40:00.590Z,-37.836,-73.278,17,5.5,mwc,389,22.6,,0.82,us,usp000hep7,2022-08-09T03:20:32.235Z,"11 km ESE of Cañete, Chile",earthquake,,,,,reviewed,us,gcmt
2010-06-28T00:59:47.000Z,-37.91,-75.038,28.2,5.6,mwc,300,47.9,,,us,usp000hemk,2022-07-18T15:12:34.339Z,"126 km WSW of Lebu, Chile",earthquake,,,,,reviewed,guc,gcmt
2010-06-27T07:15:51.450Z,-36.875,-73.48,35,5,mwc,148,69.1,,1.1,us,usp000hekf,2022-07-16T16:27:08.510Z,"35 km WNW of Coronel, Chile",earthquake,,,,,reviewed,us,gcmt
2010-06-26T19:01:18.490Z,-18.927,-69.164,104.4,5.4,mwc,332,35.2,,1.05,us,usp000hejp,2022-07-16T16:21:36.156Z,"129 km ESE of Arica, Chile",earthquake,,,,,reviewed,us,gcmt
2010-06-24T13:24:09.530Z,-36.875,-73.535,35,5,mwc,89,143.2,,1.02,us,usp000hefj,2022-07-16T16:06:43.898Z,"39 km WNW of Coronel, Chile",earthquake,,,,,reviewed,us,gcmt
2010-06-13T02:20:22.780Z,-17.957,-66.778,269.5,5,mb,302,45.9,,0.96,us,usp000hdwu,2014-11-07T01:41:40.577Z,"35 km NE of Machacamarca, Bolivia",earthquake,,5.5,,132,reviewed,us,us
2010-06-12T03:51:53.000Z,-28.383,-71.345,34.3,5.2,mwc,183,36.1,,,us,usp000hdvf,2022-07-16T15:23:04.779Z,"61 km WNW of Vallenar, Chile",earthquake,,,,,reviewed,guc,gcmt
2010-06-11T08:54:19.490Z,-34.753,-71.822,39.6,5,mb,150,53.3,,1.08,us,usp000hdu8,2022-08-08T23:19:42.886Z,"43 km WSW of Santa Cruz, Chile",earthquake,,8.8,,86,reviewed,us,us
2010-06-08T06:32:24.070Z,-17.302,-72.593,36.3,5.1,mwc,119,94.6,,0.94,us,usp000hdqh,2016-11-10T02:29:17.203Z,"62 km WSW of Islay (Matarani), Peru",earthquake,,6.7,,,reviewed,us,gcmt
